time,latitude,longitude,depth,mag,place
1973-01-01T11:42:37.500Z,-35.513,-16.211,33,6,southern Mid-Atlantic Ridge
1973-01-05T13:54:29.100Z,-38.997,175.232,150,6.2,North Island of New Zealand
1973-01-06T15:52:41.900Z,-14.665,166.384,36,6.1,Vanuatu
1973-01-18T09:28:14.100Z,-6.868,149.993,43,6.8,"New Britain region, Papua New Guinea"
1973-01-22T00:37:58.000Z,18.601,-104.967,33,6.1,"offshore Jalisco, Mexico"
1973-01-27T13:08:43.700Z,-0.115,123.931,55,6,"Sulawesi, Indonesia"
1973-01-30T21:01:12.500Z,18.481,-102.996,43,7.5,"Michoacan, Mexico"
1973-01-31T20:55:53.100Z,28.206,139.227,498,6,"Bonin Islands, Japan region"
1973-02-01T05:14:20.600Z,-22.655,-66.195,229,6.1,"Jujuy, Argentina"
1973-02-06T10:37:10.100Z,31.398,100.581,33,7.4,"western Sichuan, China"
1973-02-08T10:09:08.300Z,-45.475,96.288,33,6.1,southeast Indian Ridge
1973-02-14T16:11:14.900Z,-30.387,-177.509,29,6.3,"Kermadec Islands, New Zealand"
1973-02-24T07:38:27.000Z,-19.194,168.74,59,6,Vanuatu
1973-02-25T05:35:55.400Z,-61.037,-37.881,33,6.4,Scotia Sea
1973-02-28T06:37:49.500Z,50.486,156.584,27,7.2,Kuril Islands
1973-03-04T17:57:43.500Z,54.828,161.599,32,6.1,"near the east coast of the Kamchatka Peninsula, Russia"
1973-03-09T10:06:37.700Z,6.274,127.336,55,6,Philippine Islands region
1973-03-12T19:39:21.000Z,50.835,157.103,54,6.1,Kuril Islands
1973-03-16T00:51:47.000Z,2.091,126.643,18,6.3,Molucca Sea
1973-03-17T04:57:12.700Z,-19.376,169.359,194,6,Vanuatu
1973-03-17T08:30:51.800Z,13.372,122.787,33,7,"Luzon, Philippines"
1973-03-18T11:06:14.700Z,2.033,126.58,33,6.5,Molucca Sea
1973-03-26T02:37:21.300Z,23.415,123.957,16,6,"southwestern Ryukyu Islands, Japan"
1973-03-28T23:55:47.300Z,23.338,123.757,33,6,"southwestern Ryukyu Islands, Japan"
1973-04-03T13:54:01.800Z,4.691,-75.628,158,6.2,Colombia
1973-04-07T03:00:58.800Z,6.966,91.384,33,6.6,"Nicobar Islands, India region"
1973-04-07T12:22:47.300Z,-58.302,-13.394,33,6.7,east of the South Sandwich Islands
1973-04-08T12:41:02.000Z,-15.779,167.218,35,6.4,Vanuatu
1973-04-12T13:49:15.800Z,50.893,157.443,52,6.1,Kuril Islands
1973-04-14T08:34:00.100Z,10.679,-84.759,33,6.5,Costa Rica
1973-04-17T12:34:26.500Z,-4.439,134.03,33,6.4,"near the south coast of Papua, Indonesia"
