phase,area,perimeter,la,sa,lao
qtz,2286.4624750353,186.195829826,66.0271578727,45.1097344848,70.5966361663
pl,4408.737485108,258.7534922533,99.0325508456,57.0292638885,70.9838566517
qtz,1122.9611801149,175.820733398,74.2477556638,20.8929991368,61.438247817
qtz,1005.3948471787,134.4266134978,45.2317811289,31.4894335885,85.08858696
qtz,11489.0685359044,398.5581339272,136.4450237818,108.0384222573,170.8398347415
ksp,2470.9199974008,201.257875069,73.5776133454,44.9378696452,123.2233473988
pl,5213.4587639989,283.1104102207,103.5672548513,65.1185765366,149.3975144579
pl,5951.2888534607,318.7742823271,103.1888879445,77.987760049,23.7588467353
pl,4406.5039055343,404.0658286839,187.0491335159,36.6114007055,82.108719667
qtz,24576.1765292312,729.0507896908,270.513244499,128.4023283063,76.1932882908
qtz,18642.9208333771,578.5915955717,189.4414898823,130.4686219843,39.6622484123
ksp,14092.363540772,554.4280905696,169.4788366248,112.4313103176,179.5835793636
pl,458.6764164292,97.3507658889,30.3148972058,23.5492535805,45.5735572516
pl,515.8121127283,92.2210866664,31.1753146804,21.9427134808,144.9504138745
pl,620.345215574,97.5482394864,31.3840859247,25.9252256988,118.9521542472
ksp,2072.1610670614,227.7817382178,83.7141233875,34.0000436108,53.366970854
qtz,1369.6973977536,157.2938601141,60.4061829071,30.3589350341,115.4472324978
pl,427.0295862053,101.0879839822,40.9414462411,13.9569486838,140.6422978854
ksp,563.679053791,136.6011752702,48.9738072379,17.9912601008,114.251730684
qtz,570.0844975841,100.2621238186,38.3473375219,19.4352125513,92.2767410465
pl,2140.8112308903,197.5709902793,62.4929972885,45.6225973034,167.2873064781
ksp,8157.6160859569,375.6932558431,109.7783381713,98.7818485327,121.8284791966
pl,11284.256815476,531.4971311871,153.2350429735,106.7562576807,101.7177333807
qtz,1419.8733741327,154.0445561952,62.605249685,29.3342680734,65.5510621756
qtz,3157.8837899885,234.632115133,85.468459406,48.3741010749,80.1547567702
pl,2611.2859196456,249.934378598,96.0548212977,38.0028022901,161.8469693926
pl,913.8433144794,124.3110195677,46.6670276227,26.0080744235,43.4485051778
pl,4504.0945605008,291.8345975394,118.7548575857,50.5680832875,58.5047317344
pl,3935.0776368822,311.5691885046,99.0652165048,60.6074896207,62.6877825665
pl,7253.0975216976,383.8375620083,118.3444259376,87.5650824357,60.722646746
pl,2697.7594108522,212.1761716464,68.33340498,53.6593159306,29.3246663955
pl,2947.5717187824,212.6664274268,79.4604218971,47.634245832,29.9164272145
qtz,744.0990539628,122.2979498441,43.0888735441,25.3338935754,8.02525659
ksp,599.9765686185,100.057305983,33.4558153692,23.9112019639,157.5
pl,2188.5266293024,190.7039968014,70.6707206956,41.700748456,162.9785104988
pl,834.8428410314,137.0759777701,44.4036468197,26.2791865644,24.3034388973
ksp,346.9615387918,73.6165807351,26.6049590579,16.965941345,83.6781338715
ksp,1290.6969243056,149.3286620266,54.0001166709,32.6951663684,83.6219478625
ksp,539.1248525842,92.1478259549,32.964463473,21.23958285,118.6245456587
pl,370.4481660331,93.1261960653,38.767617797,14.2452776193,159.7190671996
qtz,320.272189654,70.3219640014,24.1998571112,17.5100032424,96.5829992076
pl,274.3665091369,64.6693986355,22.2365902484,16.1412212366,55.7602953667
pl,908.8569110808,127.9554278023,44.1540375439,28.1473641734,32.4553643074
pl,3020.930153059,238.5205992113,68.4084096227,59.8938494023,14.34263158
ksp,1643.7505394081,173.3320331646,52.3781945043,41.6786968797,161.8806609025
qtz,10902.8685031249,530.5792427923,173.7771307595,92.0373827917,73.6871275201
pl,422.3491442903,91.4715348592,32.2777671025,17.7115087546,131.2976238185
ksp,1000.7619322198,133.2028703502,42.014870233,31.9729269468,114.8470827217
pl,1530.6658343642,152.8156434211,54.5803167458,36.7162751401,167.8107818249
ksp,1861.8829394914,201.0123379998,78.6861346052,32.2198261183,153.59536288
pl,1259.5618433651,226.8625013785,57.8783477017,34.9703955416,74.7432891522
